Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
395519,	29192,	0,	10586,	34674,	0,	
396518,	30850,	0,	11113,	36591,	0,	
397519,	30330,	0,	10972,	36460,	0,	
398521,	31160,	0,	11261,	36682,	0,	
399522,	31419,	0,	11369,	36898,	0,	
400522,	24892,	0,	9526,	27972,	0,	
401523,	31270,	0,	11248,	36987,	0,	
402524,	31150,	0,	11221,	36755,	0,	
403525,	31651,	0,	11419,	37289,	0,	
404526,	30422,	0,	11004,	35936,	0,	
405528,	30575,	0,	11085,	35375,	0,	
406528,	30565,	0,	11065,	36536,	0,	
407529,	30798,	0,	11093,	36877,	0,	
408531,	30825,	0,	11097,	36336,	0,	
409531,	29144,	0,	10630,	34362,	0,	
410534,	24717,	0,	9361,	28635,	0,	
411534,	28649,	0,	10277,	34403,	0,	
412535,	28379,	0,	10322,	34122,	0,	
413537,	29046,	0,	10540,	34212,	0,	
414539,	28920,	0,	10360,	34505,	0,	
415539,	29097,	0,	10511,	34373,	0,	
416542,	29202,	0,	10526,	33786,	0,	
417540,	29210,	0,	10534,	34219,	0,	
418542,	29135,	0,	10532,	34230,	0,	
419542,	29337,	0,	10561,	34507,	0,	
420543,	24659,	0,	9258,	28741,	0,	
421544,	28849,	0,	10435,	34315,	0,	
422545,	29048,	0,	10631,	34481,	0,	
423547,	28796,	0,	10477,	34552,	0,	
424547,	28645,	0,	10449,	34848,	0,	
425549,	30236,	0,	10947,	36015,	0,	
426548,	30908,	0,	11112,	36173,	0,	
427550,	28817,	0,	10552,	34373,	0,	
428550,	28662,	0,	10410,	33956,	0,	
429551,	28510,	0,	10367,	34200,	0,	
430552,	24561,	0,	9220,	28345,	0,	
431554,	28529,	0,	10313,	34634,	0,	
432554,	29708,	0,	10744,	34723,	0,	
433556,	28547,	0,	10312,	34253,	0,	
434557,	29320,	0,	10604,	34501,	0,	
435559,	28553,	0,	10358,	34343,	0,	
436560,	29053,	0,	10524,	34137,	0,	
437561,	28871,	0,	10484,	33737,	0,	
438562,	29300,	0,	10515,	34026,	0,	
439564,	30158,	0,	10905,	35363,	0,	
440565,	24734,	0,	9226,	28697,	0,	
441565,	28834,	0,	10384,	34333,	0,	
442566,	28926,	0,	10473,	34545,	0,	
443570,	29274,	0,	10600,	35052,	0,	
444570,	28631,	0,	10329,	33958,	0,	
445570,	28721,	0,	10359,	34613,	0,	
446572,	29099,	0,	10501,	33938,	0,	
447573,	28852,	0,	10348,	34140,	0,	
448575,	29027,	0,	10578,	34421,	0,	
449576,	28914,	0,	10483,	34248,	0,	
450576,	24865,	0,	9355,	28924,	0,	
451578,	28966,	0,	10502,	34794,	0,	
452579,	28531,	0,	10345,	34235,	0,	
453581,	29392,	0,	10645,	35280,	0,	
454581,	28991,	0,	10495,	34530,	0,	
455582,	29404,	0,	10580,	34484,	0,	
456583,	28519,	0,	10302,	34317,	0,	
457584,	29010,	0,	10450,	34217,	0,	
458586,	29131,	0,	10502,	34414,	0,	
459586,	28956,	0,	10427,	34575,	0,	
460589,	23987,	0,	9068,	28358,	0,	
461589,	28635,	0,	10346,	34173,	0,	
462591,	28664,	0,	10399,	34077,	0,	
463592,	29849,	0,	10753,	35457,	0,	
464593,	28579,	0,	10393,	34415,	0,	
465593,	28559,	0,	10360,	34491,	0,	
466595,	28918,	0,	10484,	34323,	0,	
467597,	29113,	0,	10482,	34173,	0,	
468597,	29648,	0,	10670,	35114,	0,	
469599,	29589,	0,	10642,	34634,	0,	
470598,	25756,	0,	9682,	28960,	0,	
471601,	29106,	0,	10487,	34397,	0,	
472600,	29129,	0,	10530,	34172,	0,	
473603,	28811,	0,	10459,	34380,	0,	
474602,	29004,	0,	10536,	34628,	0,	
475604,	28545,	0,	10315,	34136,	0,	
476605,	28268,	0,	10338,	34102,	0,	
477605,	28836,	0,	10377,	34348,	0,	
478606,	29066,	0,	10498,	34235,	0,	
479608,	29002,	0,	10536,	33849,	0,	
480608,	24698,	0,	9369,	28472,	0,	
481609,	30227,	0,	10855,	35412,	0,	
482611,	29636,	0,	10643,	34376,	0,	
483611,	28268,	0,	10274,	33811,	0,	
484613,	30165,	0,	10862,	35864,	0,	
485615,	29239,	0,	10527,	34338,	0,	
486616,	29029,	0,	10476,	34166,	0,	
487617,	28950,	0,	10404,	34215,	0,	
488618,	29388,	0,	10601,	34189,	0,	
489619,	28937,	0,	10490,	34436,	0,	
490621,	24184,	0,	9092,	27983,	0,	
491622,	30002,	0,	10893,	35106,	0,	
492622,	28741,	0,	10411,	34470,	0,	
493623,	28968,	0,	10450,	34302,	0,	
494623,	28903,	0,	10502,	34100,	0,	
495626,	29430,	0,	10641,	34472,	0,	
496627,	28805,	0,	10419,	34340,	0,	
497627,	29110,	0,	10553,	34303,	0,	
498627,	29013,	0,	10573,	34431,	0,	
499629,	30132,	0,	10924,	35421,	0,	
