Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
193458,	13935,	199,	10437,	34571,	0,	
194461,	13854,	194,	10464,	34504,	0,	
195462,	14050,	202,	10483,	35085,	0,	
196462,	14544,	214,	10852,	35556,	0,	
197464,	13806,	195,	10363,	34809,	0,	
198464,	14118,	202,	10617,	35158,	0,	
199465,	13535,	195,	10215,	34272,	0,	
200466,	12695,	157,	10021,	25723,	0,	
201470,	14455,	220,	10787,	36045,	0,	
202468,	13677,	213,	10172,	34789,	0,	
203470,	13725,	223,	10262,	34654,	0,	
204473,	14202,	206,	10611,	35933,	0,	
205473,	13845,	213,	10312,	34768,	0,	
206472,	14075,	210,	10488,	34670,	0,	
207474,	14314,	203,	10708,	36133,	0,	
208475,	13464,	205,	10046,	33729,	0,	
209475,	14097,	215,	10562,	35223,	0,	
210477,	12738,	120,	10297,	26654,	0,	
211479,	13010,	0,	10859,	35165,	0,	
212478,	12578,	0,	10504,	34397,	0,	
213483,	12585,	0,	10574,	33973,	0,	
214480,	12218,	0,	10181,	33933,	0,	
215483,	12781,	0,	10626,	35099,	0,	
216484,	12970,	0,	10780,	35452,	0,	
217494,	9255,	0,	7750,	25693,	0,	
218499,	10141,	0,	8548,	28602,	0,	
219493,	11547,	0,	9639,	32033,	0,	
220493,	9041,	0,	8008,	16878,	0,	
221497,	11318,	0,	9420,	31197,	0,	
222494,	10180,	0,	8479,	28380,	0,	
223495,	13256,	0,	11095,	37186,	0,	
224495,	13387,	0,	11229,	36600,	0,	
225499,	13039,	0,	10844,	35619,	0,	
226498,	12764,	0,	10711,	34961,	0,	
227499,	12767,	0,	10641,	34720,	0,	
228500,	8389,	0,	6988,	23228,	0,	
229505,	5856,	0,	4943,	16151,	0,	
230502,	9412,	0,	8402,	16584,	0,	
231503,	12349,	0,	10349,	34511,	0,	
232505,	11698,	0,	9745,	31843,	0,	
233505,	13441,	0,	11228,	36412,	0,	
234508,	12864,	0,	10749,	34839,	0,	
235507,	13227,	0,	11096,	37180,	0,	
236508,	13033,	0,	10939,	36082,	0,	
237515,	13458,	0,	11250,	36605,	0,	
238510,	12399,	0,	10411,	34049,	0,	
239511,	13230,	0,	11048,	36219,	0,	
240513,	11651,	0,	10047,	26348,	0,	
241513,	12861,	0,	10729,	35566,	0,	
242514,	13294,	0,	11097,	36206,	0,	
243515,	13394,	0,	11179,	36410,	0,	
244516,	13131,	0,	10959,	36499,	0,	
245517,	13370,	0,	11121,	36206,	0,	
246518,	13386,	0,	11102,	35947,	0,	
247521,	12671,	0,	10625,	34430,	0,	
248520,	13175,	0,	11002,	36210,	0,	
249521,	13101,	0,	10916,	35623,	0,	
250523,	12548,	0,	10888,	27994,	0,	
251522,	13231,	0,	11062,	36323,	0,	
252523,	13455,	0,	11247,	36907,	0,	
253528,	12425,	0,	10440,	34718,	0,	
254526,	12679,	0,	10552,	35031,	0,	
255528,	13102,	0,	11054,	36224,	0,	
256528,	13063,	0,	10823,	36686,	0,	
257529,	13141,	0,	11010,	35870,	0,	
258531,	12528,	0,	10520,	34340,	0,	
259532,	12926,	0,	10768,	35648,	0,	
260535,	11777,	0,	10326,	24257,	0,	
261533,	12832,	0,	10750,	35337,	0,	
262536,	12327,	0,	10296,	33947,	0,	
263535,	12965,	0,	10799,	35649,	0,	
264538,	12649,	0,	10622,	34479,	0,	
265541,	12519,	0,	10493,	34256,	0,	
266540,	12866,	0,	10774,	35898,	0,	
