N, C1,C2,C, STD C1, STD C2, STD C, 
44,1.4081747435410588,10.920624855063688,6.1643997993023705,2.433568575248034,4.57106571149107,2.371832662042082,
45,1.8165170383885163,10.799835559607663,6.3081762989980925,2.6730291958386894,4.071223148524555,2.1014671811620707,
46,2.161250976162578,10.226274251238964,6.193762613700772,2.613242378717743,4.766210447024413,2.1971701079445602,
47,2.485048743099924,10.96209773720382,6.723573240151873,3.0708952118931845,4.468973230598179,2.494906204031248,
48,3.0347735914104317,11.784263882432485,7.409518736921456,3.2649560720611084,4.89795551809012,2.5644531181248524,
49,4.025230232669757,11.770416282080506,7.897823257375132,3.6941601956318095,4.699577468632137,2.5996794706727218,
50,3.4585065694042747,11.828642707555096,7.643574638479681,3.302745200152098,4.217127448818074,2.4267266177082134,
51,5.3947748457867,11.763256834556783,8.57901584017174,4.285512666661457,5.057135147581108,2.647406837847921,
52,4.7149860726909445,12.997705376031009,8.856345724360981,4.1112859766810805,5.032270136003176,2.9197591559044827,
53,6.572086220817831,13.283167924447364,9.927627072632596,5.155368112075325,4.885394954117487,2.977859425682314,
54,7.194046156929416,12.842809437650413,10.018427797289922,5.329027711573052,5.569225056909441,3.0120325277090085,
55,7.121033070911556,12.903808400295038,10.012420735603296,4.842685981618167,5.1774105884569765,3.0747219226224867,
56,9.082314784205002,14.337610462542164,11.709962623373581,6.146005021070588,5.171515977440706,3.1085867692614877,
57,8.44690219196446,13.947515020617047,11.197208606290749,5.703284628172631,5.515289585784844,3.035225884234741,
58,9.595541945684552,15.553810112293466,12.574676028989012,6.157160160626826,5.237867507433733,2.9322803683949994,
59,11.508021577556983,14.87431487119153,13.191168224374248,5.827641309544844,5.618454026609949,3.0641526854315804,
60,11.529962407425405,15.98485626276423,13.757409335094815,6.500400965430862,5.791028868180764,3.74231004918367,
61,13.045870578997768,14.972350168560034,14.009110373778903,6.657527689436915,5.3208187227632955,3.4585167150875136,
62,13.731483715535289,16.164502179577834,14.947992947556568,7.332645481255517,5.666552426866918,3.5050822008873586,
63,15.042984885930128,16.738964645291894,15.890974765611002,6.131956522654249,5.972097842476237,3.6083288220713183,
64,14.924535609949315,17.042432953718507,15.983484281833919,7.044416984082946,5.809223410807475,3.750517266068799,
65,14.5781096776786,16.478004608695244,15.52805714318692,6.862931614006947,4.780895034492417,3.9182911115423087,
66,17.5144021624671,17.314730348166446,17.414566255316767,6.907043784028442,6.167341835089966,4.174831599814409,
67,17.72406607714059,17.60433717566925,17.66420162640491,6.590330728342397,6.000543115451661,4.0791540515038385,
68,18.058607756584404,17.944932450085833,18.00177010333512,7.8067879736695405,5.822337705450392,3.7087643167836606,
69,19.27105947649484,17.666236386505656,18.468647931500247,7.663674630906901,5.368884096746738,3.7926640989216573,
70,19.735677972885725,18.095899159693733,18.91578856628973,7.5626427541020735,6.135719133921815,4.123776764856869,
71,22.83647943829791,18.796062566048676,20.816271002173295,8.398560622422286,6.761120023280043,4.267528896335383,
72,23.74377281574428,18.44647069359126,21.09512175466778,7.7867085178057485,5.650234037260901,3.9854837691880407,
73,23.87157861446937,19.48828179241526,21.679930203442318,8.394176698774594,6.061412290455171,4.284658276746403,
74,24.770581822158665,20.67387502790775,22.72222842503321,9.118398054674191,6.359458718544427,4.416418593332218,
75,25.142446117441022,20.226780534319193,22.684613325880104,7.7878927718447155,6.423465086114576,4.421519276360786,
76,28.788081802573384,20.358331746967895,24.57320677477064,8.871287023185594,5.676143247099826,4.275844003724549,
77,29.062810752555244,20.291613737590367,24.677212245072795,9.578203558257911,5.9043369095040665,4.946487925640251,
78,29.601117087382093,21.165452132785532,25.38328461008381,9.623028680990412,6.405277990449853,4.369436065125105,
79,30.98981118702976,21.601503240945497,26.295657213987642,9.131849967269666,6.006217143342102,5.16556318471011,
80,31.148244551537964,20.998990446422116,26.073617498980035,10.479318743951236,6.501398170500919,5.275290744072089,
81,33.92589768209564,21.463900696106688,27.69489918910118,8.276275654524083,6.391329719677671,4.531089469678327,
82,33.246320277404685,22.618298857751235,27.932309567577978,10.251129534938794,5.75079679254872,4.778113031294845,
83,34.66425304102241,22.902797834903964,28.783525437963203,10.538166125787347,7.458517414482395,5.095237225980184,
84,35.41213341138623,22.409645865094785,28.91088963824049,9.557183302393181,7.15547315815906,4.971779678078589,
85,37.46789798113457,22.751076866774856,30.109487423954725,9.246879543565505,6.166102740833487,4.91982316722867,
86,39.409448357913945,23.49940540070329,31.454426879308627,9.814411946868873,6.015144491675314,4.6927301724953185,
