Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
194901,	2956,	92,	2184,	1953,	0,	
195904,	3174,	107,	2249,	2118,	0,	
196909,	3074,	108,	2181,	2486,	0,	
197913,	2987,	92,	2199,	2132,	0,	
198918,	2992,	82,	2236,	2243,	0,	
199920,	2719,	69,	2067,	1945,	0,	
200924,	2735,	36,	2335,	1731,	0,	
201928,	2837,	38,	2376,	2532,	0,	
202934,	2939,	42,	2465,	2052,	0,	
203936,	2697,	30,	2325,	1795,	0,	
204940,	2878,	50,	2302,	2161,	0,	
205942,	2975,	62,	2355,	2375,	0,	
206949,	2974,	60,	2369,	2377,	0,	
207955,	2832,	50,	2300,	2220,	0,	
208959,	2740,	46,	2263,	2291,	0,	
209961,	2667,	33,	2236,	1922,	0,	
210964,	2771,	42,	2291,	2038,	0,	
211969,	2885,	45,	2379,	2170,	0,	
212974,	2840,	41,	2378,	2459,	0,	
213976,	2867,	36,	2423,	1968,	0,	
214979,	2811,	42,	2374,	1748,	0,	
215982,	2709,	43,	2248,	1713,	0,	
216986,	2846,	55,	2322,	2158,	0,	
217990,	2979,	55,	2397,	2080,	0,	
218994,	3105,	57,	2509,	2344,	0,	
220003,	2826,	54,	2281,	2150,	0,	
221006,	2953,	52,	2437,	2058,	0,	
222015,	2831,	48,	2328,	2070,	0,	
223016,	2914,	55,	2367,	2007,	0,	
224022,	3381,	76,	2603,	2491,	0,	
225031,	3407,	74,	2637,	2490,	0,	
226036,	3175,	50,	2569,	2267,	0,	
227039,	2989,	53,	2413,	2206,	0,	
228049,	2863,	56,	2325,	1986,	0,	
229051,	2979,	56,	2378,	2264,	0,	
230056,	2861,	60,	2264,	2240,	0,	
231060,	2830,	59,	2256,	2228,	0,	
232064,	2781,	51,	2258,	2055,	0,	
233067,	3124,	53,	2569,	2254,	0,	
234072,	2814,	51,	2262,	1947,	0,	
235076,	2880,	57,	2297,	2140,	0,	
236082,	3121,	56,	2539,	2136,	0,	
237086,	2916,	52,	2361,	2329,	0,	
238088,	2907,	62,	2303,	1918,	0,	
239090,	3016,	68,	2377,	1921,	0,	
240092,	2876,	55,	2339,	1912,	0,	
241096,	2797,	50,	2264,	1826,	0,	
242101,	2768,	38,	2313,	1878,	0,	
243105,	2574,	33,	2237,	1877,	0,	
244110,	2692,	44,	2285,	1785,	0,	
245113,	2661,	41,	2269,	1757,	0,	
246118,	2577,	39,	2213,	1686,	0,	
247120,	2775,	37,	2351,	1794,	0,	
248139,	2707,	45,	2276,	1726,	0,	
249146,	2722,	40,	2315,	1984,	0,	
250151,	2801,	31,	2446,	1921,	0,	
251157,	2577,	31,	2293,	1756,	0,	
252160,	2852,	47,	2407,	2162,	0,	
253164,	2655,	35,	2247,	1945,	0,	
