Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
211174,	2362,	383,	0,	1145,	0,	
212175,	2021,	319,	0,	992,	0,	
213192,	2673,	411,	0,	1202,	0,	
214197,	2237,	357,	0,	997,	0,	
215213,	2340,	377,	0,	1081,	0,	
216216,	1761,	277,	0,	927,	0,	
217231,	1985,	300,	0,	856,	0,	
218242,	2518,	389,	0,	1209,	0,	
219246,	1665,	282,	0,	948,	0,	
220247,	1929,	295,	0,	993,	0,	
221263,	1381,	232,	0,	687,	0,	
222273,	1722,	264,	0,	817,	0,	
223291,	2194,	353,	0,	967,	0,	
224298,	1819,	268,	0,	772,	0,	
225324,	2276,	387,	0,	1096,	0,	
226328,	2225,	335,	0,	1015,	0,	
227330,	2286,	370,	0,	1073,	0,	
228334,	2352,	361,	0,	1204,	0,	
229336,	1904,	322,	0,	898,	0,	
230338,	1713,	271,	0,	844,	0,	
231354,	1630,	252,	0,	762,	0,	
232369,	2008,	311,	0,	950,	0,	
233374,	2631,	417,	0,	1170,	0,	
234388,	2191,	359,	0,	1052,	0,	
235392,	2320,	356,	0,	1282,	0,	
236400,	1815,	297,	0,	1093,	0,	
237404,	1432,	226,	0,	763,	0,	
238407,	2424,	374,	0,	1159,	0,	
239411,	2168,	322,	0,	967,	0,	
240427,	1907,	314,	0,	929,	0,	
241431,	1759,	267,	0,	870,	0,	
242444,	1889,	304,	0,	941,	0,	
243445,	1650,	261,	0,	727,	0,	
244447,	1870,	295,	0,	814,	0,	
245462,	2366,	372,	0,	1063,	0,	
246463,	1521,	234,	0,	754,	0,	
247465,	1573,	255,	0,	832,	0,	
248481,	2045,	315,	0,	941,	0,	
249496,	1989,	319,	0,	1042,	0,	
250509,	1941,	243,	278,	792,	542,	
251517,	2696,	47,	1120,	598,	1885,	
252534,	2625,	33,	1144,	519,	1834,	
253534,	2611,	32,	1144,	516,	1786,	
254534,	2756,	30,	1158,	442,	1965,	
255534,	2490,	30,	1085,	405,	1770,	
256534,	2688,	23,	1187,	549,	1829,	
257550,	1687,	234,	0,	793,	0,	
258550,	1946,	313,	0,	868,	0,	
259550,	1603,	249,	0,	724,	0,	
260552,	2080,	327,	0,	1079,	0,	
261555,	2362,	385,	0,	1083,	0,	
262555,	2266,	336,	0,	1064,	0,	
263556,	2255,	366,	0,	1137,	0,	
264557,	1704,	282,	0,	889,	0,	
265558,	1951,	292,	0,	894,	0,	
266559,	2228,	374,	0,	1095,	0,	
267560,	2049,	304,	0,	911,	0,	
268560,	1762,	306,	0,	979,	0,	
269561,	2099,	306,	0,	883,	0,	
270561,	2072,	334,	0,	936,	0,	
271562,	1581,	256,	0,	854,	0,	
272562,	2064,	327,	0,	951,	0,	
273563,	1502,	242,	0,	749,	0,	
274563,	1683,	269,	0,	768,	0,	
275579,	1842,	287,	0,	779,	0,	
276579,	1689,	279,	0,	969,	0,	
277580,	1640,	260,	0,	863,	0,	
278580,	1772,	288,	0,	1059,	0,	
279581,	1582,	245,	0,	950,	0,	
280582,	1726,	281,	0,	902,	0,	
281582,	1893,	300,	0,	1066,	0,	
282598,	1901,	304,	0,	1096,	0,	
283598,	2160,	347,	0,	1017,	0,	
284599,	2039,	321,	0,	1000,	0,	
285599,	2184,	353,	0,	1195,	0,	
286599,	1493,	236,	0,	806,	0,	
287599,	1779,	271,	0,	957,	0,	
288600,	1579,	251,	0,	820,	0,	
289600,	1644,	256,	0,	876,	0,	
290601,	1428,	226,	0,	688,	0,	
291601,	1898,	295,	0,	762,	0,	
292602,	1922,	308,	0,	835,	0,	
293602,	2021,	317,	0,	930,	0,	
294603,	1928,	309,	0,	922,	0,	
295603,	1950,	308,	0,	983,	0,	
296604,	1697,	273,	0,	835,	0,	
297605,	1728,	262,	0,	882,	0,	
298606,	2143,	349,	0,	1107,	0,	
299606,	1734,	270,	0,	836,	0,	
300622,	1952,	210,	364,	657,	654,	
301622,	2781,	44,	1159,	519,	1903,	
302622,	2740,	62,	1117,	570,	1836,	
303623,	2949,	51,	1192,	486,	2025,	
304624,	2464,	31,	1046,	496,	1824,	
305642,	2641,	37,	1152,	595,	1818,	
306662,	1917,	283,	0,	969,	0,	
307662,	2359,	366,	0,	1172,	0,	
308662,	2053,	284,	0,	817,	0,	
309663,	2065,	370,	0,	964,	0,	
310664,	2344,	369,	0,	1138,	0,	
311664,	1795,	289,	0,	983,	0,	
312666,	1514,	209,	0,	672,	0,	
313667,	2561,	407,	0,	1336,	0,	
314668,	2546,	403,	0,	1237,	0,	
315668,	2027,	337,	0,	922,	0,	
316669,	2146,	329,	0,	964,	0,	
317669,	1546,	231,	0,	590,	0,	
318669,	1354,	226,	0,	694,	0,	
319670,	1825,	295,	0,	899,	0,	
320671,	1937,	303,	0,	921,	0,	
321672,	2043,	316,	0,	957,	0,	
322673,	1873,	303,	0,	897,	0,	
323673,	2013,	317,	0,	920,	0,	
324673,	1663,	268,	0,	840,	0,	
325673,	2712,	402,	0,	1297,	0,	
326674,	2120,	346,	0,	1015,	0,	
327675,	2613,	396,	0,	1102,	0,	
328675,	2511,	394,	0,	1027,	0,	
329691,	2647,	427,	0,	1105,	0,	
330691,	2290,	366,	0,	997,	0,	
331692,	2530,	384,	0,	1175,	0,	
332692,	2559,	401,	0,	1244,	0,	
333693,	2503,	394,	0,	1093,	0,	
334694,	1567,	252,	0,	734,	0,	
335694,	2079,	321,	0,	1078,	0,	
336694,	2051,	320,	0,	1106,	0,	
337695,	1526,	252,	0,	740,	0,	
338695,	1891,	291,	0,	1004,	0,	
339695,	2356,	377,	0,	1283,	0,	
340696,	1770,	271,	0,	1015,	0,	
341696,	1816,	294,	0,	1041,	0,	
342711,	2224,	334,	0,	1045,	0,	
343727,	1848,	304,	0,	1072,	0,	
344727,	1766,	283,	0,	903,	0,	
345742,	2020,	332,	0,	912,	0,	
346743,	2077,	334,	0,	1202,	0,	
347743,	2260,	333,	0,	1082,	0,	
348743,	2228,	365,	0,	1256,	0,	
349743,	1483,	243,	0,	768,	0,	
350760,	1594,	138,	421,	571,	708,	
351780,	2814,	25,	1226,	500,	1937,	
352783,	3000,	49,	1240,	555,	1958,	
353797,	2770,	47,	1138,	599,	1889,	
354798,	2557,	21,	1134,	461,	1771,	
355798,	2895,	40,	1228,	464,	2016,	
356799,	2612,	374,	0,	1156,	0,	
357799,	2979,	469,	0,	1367,	0,	
358800,	2203,	348,	0,	1079,	0,	
359800,	2074,	339,	0,	1168,	0,	
360801,	2034,	305,	0,	969,	0,	
361813,	1985,	328,	0,	934,	0,	
362823,	1720,	250,	0,	842,	0,	
363823,	1451,	241,	0,	717,	0,	
364823,	1711,	273,	0,	707,	0,	
365823,	1654,	272,	0,	850,	0,	
