Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
381217,	115379,	0,	29322,	26559,	9306,	30,	
383218,	129722,	0,	32090,	29807,	10328,	30,	
385218,	128630,	0,	31889,	29552,	10255,	30,	
387219,	127464,	0,	31542,	29297,	10144,	30,	
389220,	130176,	0,	32195,	29889,	10371,	30,	
391221,	116388,	0,	29603,	26779,	9393,	30,	
393221,	129201,	0,	32007,	29700,	10296,	30,	
395221,	129414,	0,	32056,	29772,	10315,	30,	
397222,	129266,	0,	32005,	29689,	10296,	30,	
399222,	127887,	0,	31647,	29478,	10198,	30,	
