Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
323471,	1011,	0,	353,	765,	23,	
324487,	1279,	0,	409,	965,	60,	
325487,	1220,	0,	406,	910,	33,	
326488,	1419,	0,	478,	1085,	47,	
327503,	1422,	0,	436,	1005,	37,	
328522,	1237,	0,	402,	892,	35,	
329541,	1407,	0,	480,	1114,	52,	
330541,	1019,	0,	347,	799,	32,	
331542,	1380,	0,	467,	973,	40,	
332542,	1792,	0,	554,	1373,	63,	
333558,	1803,	0,	552,	1405,	68,	
334558,	1299,	0,	424,	859,	23,	
335560,	1324,	0,	435,	950,	45,	
336575,	1288,	0,	429,	1149,	52,	
337575,	1401,	0,	476,	1189,	38,	
338575,	1525,	0,	484,	1310,	45,	
339577,	1778,	0,	572,	1292,	75,	
340578,	1424,	0,	484,	1163,	71,	
341578,	1395,	0,	456,	1117,	49,	
342578,	965,	0,	336,	755,	29,	
343579,	1385,	0,	452,	1050,	44,	
344580,	1623,	0,	504,	1323,	37,	
345580,	1613,	0,	511,	1392,	53,	
346581,	1368,	0,	453,	1275,	51,	
347582,	1238,	0,	407,	1057,	44,	
348583,	1532,	0,	490,	1123,	42,	
349584,	1660,	0,	528,	1241,	49,	
350584,	1426,	0,	491,	1069,	64,	
351585,	1735,	0,	549,	1261,	63,	
352587,	1628,	0,	533,	1391,	64,	
353587,	1580,	0,	497,	1197,	64,	
354588,	1718,	0,	539,	1417,	63,	
355589,	1269,	0,	436,	957,	38,	
356589,	1284,	0,	430,	1041,	44,	
357590,	1322,	0,	443,	1136,	48,	
358590,	1286,	0,	431,	949,	29,	
359590,	1285,	0,	426,	1055,	41,	
360591,	1324,	0,	434,	1087,	32,	
361592,	978,	0,	345,	729,	27,	
362592,	1128,	0,	371,	827,	29,	
363593,	988,	0,	360,	786,	28,	
364594,	1270,	0,	415,	1058,	32,	
365595,	1209,	0,	431,	999,	35,	
366596,	1149,	0,	396,	788,	25,	
367596,	1279,	0,	430,	946,	42,	
368597,	1385,	0,	474,	1015,	38,	
369597,	1376,	0,	471,	1103,	66,	
370598,	1417,	0,	479,	1060,	61,	
371598,	1410,	0,	479,	1362,	67,	
372598,	1364,	0,	466,	1150,	50,	
373599,	1245,	0,	430,	964,	51,	
374600,	1608,	0,	520,	1306,	81,	
375601,	1130,	0,	396,	979,	36,	
376621,	1487,	0,	503,	1248,	51,	
377633,	1326,	0,	436,	959,	27,	
378634,	1166,	0,	391,	990,	45,	
379635,	1285,	0,	423,	990,	57,	
380650,	1326,	0,	426,	892,	57,	
381651,	1354,	0,	440,	958,	57,	
382654,	1280,	0,	444,	1054,	43,	
383668,	1523,	0,	491,	1124,	46,	
384668,	1700,	0,	541,	1275,	50,	
385669,	1435,	0,	473,	1117,	68,	
386670,	940,	0,	337,	713,	24,	
387670,	1668,	0,	532,	1352,	73,	
388671,	1688,	0,	530,	1321,	69,	
389671,	1761,	0,	567,	1346,	61,	
390671,	1974,	0,	626,	1720,	82,	
391676,	1513,	0,	498,	1113,	50,	
392694,	1260,	0,	419,	919,	37,	
393712,	1536,	0,	487,	1046,	38,	
394712,	1098,	0,	392,	793,	29,	
395713,	1595,	0,	532,	1268,	88,	
396714,	1066,	0,	370,	1014,	44,	
397715,	984,	0,	360,	776,	32,	
398715,	1351,	0,	444,	1065,	33,	
399715,	1498,	0,	476,	1215,	49,	
400716,	1310,	0,	445,	1125,	55,	
401716,	1096,	0,	386,	866,	35,	
402717,	915,	0,	322,	805,	30,	
403717,	1092,	0,	395,	949,	43,	
404718,	1176,	0,	396,	989,	42,	
405719,	1444,	0,	467,	1238,	31,	
406719,	1381,	0,	470,	1177,	49,	
407727,	1544,	0,	516,	1256,	65,	
408737,	1090,	0,	379,	872,	42,	
409737,	1101,	0,	398,	919,	41,	
410738,	1237,	0,	427,	926,	35,	
411738,	1337,	0,	449,	1095,	73,	
412739,	1101,	0,	385,	834,	46,	
413739,	1234,	0,	410,	921,	46,	
