Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
447025,	761,	0,	731,	495,	0,	
448026,	683,	0,	667,	301,	0,	
449027,	810,	0,	760,	561,	0,	
450028,	823,	0,	753,	710,	0,	
451028,	854,	0,	807,	430,	0,	
452029,	797,	0,	735,	566,	0,	
453030,	737,	0,	714,	430,	0,	
454030,	751,	0,	734,	342,	0,	
455031,	741,	0,	721,	334,	0,	
456032,	837,	0,	764,	709,	0,	
457033,	766,	0,	727,	431,	0,	
458033,	761,	0,	708,	523,	0,	
459034,	770,	0,	724,	520,	0,	
460035,	752,	0,	701,	487,	0,	
461036,	633,	0,	590,	494,	0,	
462037,	749,	0,	726,	384,	0,	
463037,	712,	0,	698,	438,	0,	
464038,	818,	0,	783,	385,	0,	
465038,	753,	0,	720,	405,	0,	
466038,	720,	0,	671,	739,	0,	
467039,	713,	0,	688,	605,	0,	
468039,	686,	0,	664,	495,	0,	
469040,	755,	0,	707,	476,	0,	
470040,	828,	0,	761,	688,	0,	
471056,	740,	0,	693,	558,	0,	
472058,	729,	0,	687,	531,	0,	
473058,	766,	0,	708,	622,	0,	
474059,	719,	0,	709,	371,	0,	
475060,	757,	0,	711,	573,	0,	
476060,	728,	0,	691,	501,	0,	
477061,	732,	0,	713,	411,	0,	
478062,	687,	0,	656,	497,	0,	
479062,	774,	0,	732,	481,	0,	
480063,	664,	0,	635,	563,	0,	
481063,	728,	0,	695,	529,	0,	
482064,	741,	0,	715,	457,	0,	
483064,	742,	0,	726,	516,	0,	
484065,	758,	0,	739,	354,	0,	
485066,	716,	0,	691,	292,	0,	
486067,	765,	0,	731,	628,	0,	
487067,	835,	0,	780,	464,	0,	
488067,	796,	0,	739,	481,	0,	
489068,	773,	0,	701,	586,	0,	
490068,	743,	0,	722,	404,	0,	
491068,	764,	0,	701,	715,	0,	
492069,	793,	0,	710,	781,	0,	
493070,	765,	0,	716,	552,	0,	
494071,	800,	0,	756,	586,	0,	
495071,	724,	0,	699,	510,	0,	
496072,	693,	0,	670,	465,	0,	
497087,	722,	0,	689,	463,	0,	
498088,	772,	0,	733,	632,	0,	
499088,	685,	0,	644,	527,	0,	
