Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
472381,	118420,	21037,	0,	21755,	0,	0,	
474386,	117076,	20795,	0,	21499,	0,	0,	
476392,	120191,	21360,	0,	22077,	0,	0,	
478396,	118963,	21138,	0,	21859,	0,	0,	
480398,	109421,	19428,	0,	20071,	0,	0,	
482402,	120512,	21413,	0,	22139,	0,	0,	
484403,	113659,	20194,	0,	20878,	0,	0,	
486408,	120272,	21371,	0,	22099,	0,	0,	
488410,	96030,	17048,	0,	17667,	0,	0,	
490411,	119823,	21285,	0,	21988,	0,	0,	
492412,	120193,	21353,	0,	22066,	0,	0,	
494415,	120039,	21330,	0,	22042,	0,	0,	
496420,	120425,	21397,	0,	22132,	0,	0,	
498420,	120212,	21360,	0,	22080,	0,	0,	
500422,	116557,	20718,	0,	21398,	0,	0,	
502437,	119819,	21291,	0,	21985,	0,	0,	
504440,	121138,	21524,	0,	22230,	0,	0,	
506445,	120048,	21328,	0,	22053,	0,	0,	
508459,	120624,	21433,	0,	22179,	0,	0,	
510474,	119608,	21258,	0,	21968,	0,	0,	
512477,	119587,	21249,	0,	21974,	0,	0,	
514481,	120403,	21393,	0,	22107,	0,	0,	
516496,	121038,	21509,	0,	22250,	0,	0,	
518509,	119734,	21279,	0,	21998,	0,	0,	
520513,	114211,	20285,	0,	20956,	0,	0,	
522520,	122089,	21699,	0,	22394,	0,	0,	
524531,	115293,	20483,	0,	21181,	0,	0,	
526552,	234676,	21213,	0,	21959,	0,	0,	
528566,	119293,	21194,	0,	21954,	0,	0,	
530567,	120206,	21359,	0,	22109,	0,	0,	
532574,	119716,	21277,	0,	21972,	0,	0,	
534579,	120241,	21367,	0,	22084,	0,	0,	
536585,	119321,	21200,	0,	21921,	0,	0,	
538593,	120173,	21353,	0,	22056,	0,	0,	
540599,	117363,	20845,	0,	21554,	0,	0,	
542600,	120257,	21378,	0,	22096,	0,	0,	
544614,	120248,	21373,	0,	22090,	0,	0,	
546617,	119049,	21163,	0,	21878,	0,	0,	
548618,	121292,	21557,	0,	22275,	0,	0,	
550619,	119257,	21190,	0,	21920,	0,	0,	
552632,	120708,	21449,	0,	22150,	0,	0,	
554646,	120956,	21499,	0,	22241,	0,	0,	
556661,	120337,	21384,	0,	22110,	0,	0,	
558663,	120649,	21440,	0,	22115,	0,	0,	
560663,	115870,	20590,	0,	21333,	0,	0,	
562663,	120037,	21333,	0,	22028,	0,	0,	
564669,	120188,	21365,	0,	22087,	0,	0,	
566676,	119361,	21212,	0,	21950,	0,	0,	
568684,	119596,	21263,	0,	21984,	0,	0,	
570691,	120169,	21364,	0,	22085,	0,	0,	
572698,	120135,	21356,	0,	22078,	0,	0,	
574705,	120169,	21360,	0,	22077,	0,	0,	
576705,	120176,	21360,	0,	22080,	0,	0,	
578709,	120182,	21360,	0,	22080,	0,	0,	
580711,	116151,	20635,	0,	21327,	0,	0,	
582718,	120139,	21359,	0,	22081,	0,	0,	
584723,	119574,	21252,	0,	21961,	0,	0,	
586723,	118117,	20994,	0,	21707,	0,	0,	
588727,	120077,	21337,	0,	22043,	0,	0,	
590742,	117749,	20933,	0,	21592,	0,	0,	
592747,	119807,	21298,	0,	22031,	0,	0,	
594754,	120124,	21353,	0,	22075,	0,	0,	
596756,	119598,	21258,	0,	22019,	0,	0,	
598756,	120175,	21360,	0,	22080,	0,	0,	
600770,	115729,	20571,	0,	21328,	0,	0,	
602771,	121850,	21653,	0,	22381,	0,	0,	
604771,	118301,	21011,	0,	21693,	0,	0,	
606783,	120467,	21409,	0,	22184,	0,	0,	
608787,	117182,	20823,	0,	21497,	0,	0,	
610796,	115164,	20465,	0,	21107,	0,	0,	
612800,	117630,	20910,	0,	21622,	0,	0,	
