Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
441537,	12593,	0,	10795,	35524,	0,	
442539,	11545,	0,	9991,	33131,	0,	
443538,	10947,	0,	9468,	31214,	0,	
444540,	10008,	0,	8679,	28538,	0,	
445541,	11327,	0,	9811,	32676,	0,	
446544,	12551,	0,	10821,	35221,	0,	
447543,	12139,	0,	10501,	34841,	0,	
448546,	12500,	0,	10794,	35503,	0,	
449544,	12649,	0,	10877,	35763,	0,	
450546,	12250,	0,	10815,	30864,	0,	
451547,	12091,	0,	10492,	34726,	0,	
452550,	10780,	0,	9299,	29835,	0,	
453557,	11490,	0,	9937,	32297,	0,	
454550,	11238,	0,	9790,	32332,	0,	
455553,	11709,	0,	10146,	33067,	0,	
456554,	11958,	0,	10323,	33863,	0,	
457555,	12041,	0,	10443,	34815,	0,	
458554,	10489,	0,	9069,	29870,	0,	
459561,	12026,	0,	10376,	33351,	0,	
460556,	11700,	0,	10326,	29209,	0,	
461558,	11579,	0,	10017,	33125,	0,	
462560,	12961,	0,	11222,	35979,	0,	
463558,	12718,	0,	10987,	36335,	0,	
464562,	12598,	0,	10871,	36315,	0,	
465561,	12704,	0,	10947,	35775,	0,	
466563,	12773,	0,	10975,	35939,	0,	
467571,	12265,	0,	10679,	34383,	0,	
468562,	11907,	0,	10267,	34572,	0,	
469564,	12338,	0,	10714,	35331,	0,	
470567,	12121,	0,	10594,	32735,	0,	
471566,	11560,	0,	10019,	32644,	0,	
472566,	11558,	0,	10082,	32998,	0,	
473567,	11322,	0,	9782,	32070,	0,	
474571,	12555,	0,	10902,	35334,	0,	
475570,	11659,	0,	10108,	32545,	0,	
476571,	12458,	0,	10711,	35854,	0,	
477574,	12732,	0,	11032,	36219,	0,	
478574,	12574,	0,	10911,	35720,	0,	
479574,	11811,	0,	10215,	33896,	0,	
480576,	11967,	0,	10431,	31092,	0,	
481577,	12334,	0,	10640,	34433,	0,	
482578,	12035,	0,	10423,	34287,	0,	
483582,	12347,	0,	10682,	35193,	0,	
484580,	12398,	0,	10702,	34923,	0,	
485581,	12626,	0,	10900,	35548,	0,	
486582,	11250,	0,	9702,	31963,	0,	
487583,	11687,	0,	10069,	33037,	0,	
488583,	11469,	0,	9927,	32558,	0,	
489584,	11831,	0,	10205,	32878,	0,	
490586,	12029,	0,	10545,	31129,	0,	
491588,	11746,	0,	10180,	33502,	0,	
492589,	12261,	0,	10593,	34224,	0,	
493590,	12597,	0,	10883,	35971,	0,	
494591,	12654,	0,	10936,	36133,	0,	
495591,	12943,	0,	11167,	35827,	0,	
496592,	12745,	0,	10963,	35225,	0,	
497594,	12889,	0,	11115,	35673,	0,	
498594,	12411,	0,	10687,	35633,	0,	
499596,	12452,	0,	10736,	34864,	0,	
