Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
319289,	1860,	180,	959,	720,	0,	10,	42,	
321298,	1860,	180,	960,	720,	0,	10,	44,	
323305,	1860,	180,	960,	720,	0,	10,	44,	
325313,	1859,	179,	960,	720,	0,	10,	44,	
327321,	1860,	181,	960,	720,	0,	10,	44,	
329330,	1859,	180,	959,	720,	0,	10,	44,	
331338,	1840,	177,	954,	713,	0,	10,	44,	
333346,	1860,	180,	960,	719,	0,	10,	44,	
335354,	1860,	180,	960,	720,	0,	10,	44,	
337363,	1859,	180,	960,	721,	0,	10,	44,	
339371,	1860,	180,	958,	720,	0,	10,	44,	
341380,	1935,	143,	997,	719,	0,	10,	45,	
343387,	1978,	120,	1019,	721,	0,	10,	45,	
345395,	1979,	120,	1020,	720,	0,	10,	45,	
347403,	1980,	120,	1019,	720,	0,	10,	45,	
349410,	1980,	120,	1020,	719,	0,	10,	45,	
351418,	1979,	120,	1020,	720,	0,	10,	45,	
353426,	1980,	120,	1019,	721,	0,	10,	45,	
355433,	1980,	120,	1019,	720,	0,	10,	45,	
357441,	1979,	120,	1019,	720,	0,	10,	45,	
359449,	1980,	120,	1020,	719,	0,	10,	45,	
361458,	1784,	81,	1059,	720,	0,	10,	46,	
363461,	1680,	60,	1080,	720,	0,	10,	46,	
365473,	1407,	50,	907,	608,	0,	10,	46,	
367479,	1679,	61,	1079,	719,	0,	10,	46,	
369485,	1680,	60,	1079,	721,	0,	10,	46,	
371489,	1616,	57,	1036,	688,	0,	10,	46,	
373496,	1679,	60,	1080,	720,	0,	10,	46,	
375504,	1679,	60,	1080,	721,	0,	10,	46,	
377512,	1680,	60,	1080,	720,	0,	10,	46,	
379521,	1678,	60,	1078,	719,	0,	10,	46,	
381529,	1680,	60,	1080,	721,	0,	10,	46,	
383537,	1679,	60,	1079,	719,	0,	10,	46,	
385545,	1679,	60,	1080,	721,	0,	10,	46,	
387553,	1680,	60,	1078,	720,	0,	10,	46,	
389559,	1680,	60,	1080,	719,	0,	10,	46,	
391567,	1680,	60,	1080,	721,	0,	10,	46,	
393574,	1679,	60,	1079,	720,	0,	10,	46,	
395582,	1680,	60,	1080,	719,	0,	10,	46,	
397589,	1680,	60,	1078,	720,	0,	10,	46,	
399598,	1679,	60,	1078,	721,	0,	10,	46,	
401606,	1678,	60,	1078,	720,	0,	10,	46,	
403615,	1680,	60,	1080,	719,	0,	10,	46,	
405622,	1680,	60,	1080,	720,	0,	10,	46,	
407631,	1659,	60,	1070,	715,	0,	10,	46,	
409637,	1679,	60,	1080,	721,	0,	10,	46,	
411644,	1679,	60,	1080,	720,	0,	10,	46,	
413651,	1679,	60,	1080,	720,	0,	10,	46,	
415659,	1680,	60,	1080,	719,	0,	10,	46,	
417666,	1679,	60,	1079,	721,	0,	10,	46,	
419673,	1679,	60,	1079,	720,	0,	10,	46,	
421680,	1680,	60,	1080,	719,	0,	10,	46,	
423685,	1680,	60,	1079,	720,	0,	10,	46,	
425691,	1679,	60,	1080,	721,	0,	10,	46,	
427696,	1679,	60,	1080,	720,	0,	10,	46,	
429703,	1595,	57,	1026,	683,	0,	10,	46,	
431710,	1678,	60,	1079,	720,	0,	10,	46,	
433719,	1678,	60,	1080,	721,	0,	10,	46,	
435726,	1679,	60,	1079,	720,	0,	10,	46,	
437734,	1680,	60,	1079,	719,	0,	10,	46,	
439743,	1679,	60,	1080,	721,	0,	10,	46,	
441749,	1680,	60,	1079,	719,	0,	10,	46,	
