Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
662536,	2134,	0,	1281,	610,	0,	10,	47,	
664543,	2099,	0,	1260,	601,	0,	10,	47,	
666549,	2098,	0,	1259,	600,	0,	10,	47,	
668556,	2099,	0,	1260,	600,	0,	10,	47,	
670562,	2098,	0,	1259,	600,	0,	10,	47,	
672576,	2100,	0,	1260,	600,	0,	10,	47,	
674578,	2100,	0,	1260,	599,	0,	10,	47,	
676586,	2100,	0,	1259,	601,	0,	10,	47,	
678588,	2100,	0,	1260,	600,	0,	10,	47,	
680592,	2099,	0,	1258,	599,	0,	10,	47,	
682600,	2100,	0,	1258,	601,	0,	10,	47,	
684601,	2100,	0,	1258,	600,	0,	10,	47,	
686609,	2099,	0,	1259,	600,	0,	10,	47,	
688613,	2098,	0,	1259,	599,	0,	10,	47,	
690621,	2099,	0,	1260,	600,	0,	10,	47,	
692630,	2100,	0,	1259,	600,	0,	10,	47,	
694638,	2100,	0,	1259,	600,	0,	10,	47,	
696641,	2100,	0,	1260,	600,	0,	10,	47,	
698650,	2098,	0,	1260,	600,	0,	10,	47,	
700655,	2098,	0,	1259,	600,	0,	10,	47,	
702662,	2099,	0,	1257,	601,	0,	10,	47,	
704667,	2099,	0,	1259,	600,	0,	10,	47,	
706681,	2134,	0,	1281,	610,	0,	10,	47,	
708686,	2100,	0,	1259,	600,	0,	10,	47,	
710694,	2099,	0,	1260,	599,	0,	10,	47,	
712702,	2099,	0,	1260,	601,	0,	10,	47,	
714710,	2099,	0,	1260,	600,	0,	10,	47,	
716717,	2099,	0,	1260,	600,	0,	10,	47,	
718726,	2099,	0,	1259,	599,	0,	10,	47,	
720734,	2100,	0,	1260,	601,	0,	10,	47,	
722742,	2098,	0,	1259,	599,	0,	10,	47,	
724749,	2098,	0,	1260,	601,	0,	10,	47,	
726757,	2098,	0,	1259,	600,	0,	10,	47,	
728762,	2100,	0,	1260,	599,	0,	10,	47,	
730768,	2100,	0,	1259,	600,	0,	10,	47,	
732776,	2100,	0,	1260,	601,	0,	10,	47,	
734784,	2099,	0,	1259,	600,	0,	10,	47,	
736793,	2099,	0,	1260,	600,	0,	10,	47,	
738801,	2099,	0,	1260,	599,	0,	10,	47,	
740803,	2100,	0,	1260,	601,	0,	10,	47,	
742808,	2099,	0,	1259,	599,	0,	10,	47,	
744815,	2100,	0,	1259,	600,	0,	10,	47,	
746821,	2098,	0,	1260,	601,	0,	10,	47,	
748829,	2100,	0,	1260,	599,	0,	10,	47,	
750837,	2098,	0,	1260,	600,	0,	10,	47,	
752846,	2096,	0,	1260,	600,	0,	10,	47,	
754853,	2100,	0,	1260,	601,	0,	10,	47,	
756856,	2099,	0,	1260,	600,	0,	10,	47,	
758860,	2100,	0,	1260,	599,	0,	10,	47,	
760867,	2099,	0,	1260,	601,	0,	10,	47,	
762874,	2100,	0,	1260,	599,	0,	10,	47,	
764882,	2100,	0,	1260,	600,	0,	10,	47,	
766890,	2100,	0,	1259,	600,	0,	10,	47,	
768896,	2100,	0,	1260,	600,	0,	10,	47,	
770904,	2098,	0,	1258,	600,	0,	10,	47,	
772911,	2100,	0,	1258,	601,	0,	10,	47,	
774919,	2099,	0,	1260,	600,	0,	10,	47,	
776926,	2064,	0,	1238,	589,	0,	10,	47,	
778933,	2099,	0,	1259,	600,	0,	10,	47,	
780939,	2100,	0,	1260,	600,	0,	10,	47,	
782947,	2099,	0,	1260,	600,	0,	10,	47,	
784955,	2097,	0,	1260,	600,	0,	10,	47,	
786962,	2100,	0,	1260,	600,	0,	10,	47,	
788970,	2099,	0,	1259,	600,	0,	10,	47,	
790978,	2097,	0,	1258,	600,	0,	10,	47,	
792986,	2100,	0,	1259,	600,	0,	10,	47,	
794993,	2099,	0,	1259,	601,	0,	10,	47,	
797001,	2099,	0,	1259,	599,	0,	10,	47,	
799009,	2100,	0,	1260,	601,	0,	10,	47,	
Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
85,	126,	23,	0,	8,	0,	0,	0,	
2093,	7557,	1379,	0,	480,	0,	0,	0,	
4100,	7555,	1381,	0,	480,	0,	0,	0,	
6107,	7558,	1379,	0,	480,	0,	0,	0,	
8115,	7549,	1381,	0,	480,	0,	0,	0,	
10123,	7551,	1380,	0,	480,	0,	0,	0,	
12129,	7553,	1380,	0,	480,	0,	0,	0,	
14137,	7556,	1380,	0,	480,	0,	0,	0,	
16143,	7549,	1379,	0,	480,	0,	0,	0,	
18151,	7556,	1381,	0,	480,	0,	0,	0,	
20159,	7529,	1375,	5,	480,	0,	1,	7,	
22166,	7194,	1319,	60,	480,	0,	1,	7,	
24174,	7195,	1320,	60,	480,	0,	1,	7,	
26181,	7196,	1321,	60,	480,	0,	1,	7,	
28189,	7194,	1320,	60,	479,	0,	1,	7,	
30196,	7191,	1319,	60,	481,	0,	1,	7,	
32205,	7199,	1321,	60,	480,	0,	1,	7,	
34210,	7195,	1320,	60,	480,	0,	1,	7,	
36218,	7193,	1320,	60,	480,	0,	1,	7,	
38226,	7192,	1319,	60,	480,	0,	1,	7,	
40234,	7021,	1289,	92,	480,	0,	4,	11,	
42241,	5575,	1020,	360,	480,	0,	4,	11,	
44247,	5574,	1020,	360,	479,	0,	4,	11,	
46253,	5577,	1019,	360,	481,	0,	4,	11,	
48261,	5579,	1021,	360,	480,	0,	4,	11,	
50267,	5578,	1019,	360,	480,	0,	4,	11,	
52276,	5575,	1021,	360,	480,	0,	4,	11,	
54283,	5577,	1020,	360,	480,	0,	4,	11,	
56292,	5576,	1020,	360,	480,	0,	4,	11,	
58299,	5575,	1019,	360,	480,	0,	4,	11,	
60308,	5548,	1012,	369,	480,	0,	5,	13,	
62315,	5395,	960,	420,	480,	0,	5,	13,	
64323,	5400,	959,	420,	480,	0,	5,	13,	
66331,	5399,	961,	420,	480,	0,	5,	13,	
68337,	5395,	959,	420,	480,	0,	5,	13,	
70345,	5396,	960,	420,	480,	0,	5,	13,	
72351,	5396,	961,	420,	480,	0,	5,	13,	
74359,	5393,	960,	420,	480,	0,	5,	13,	
76368,	5394,	959,	420,	480,	0,	5,	13,	
78375,	5395,	961,	420,	480,	0,	5,	13,	
80382,	5300,	940,	440,	480,	0,	7,	19,	
82389,	4798,	839,	540,	480,	0,	7,	19,	
84398,	4796,	841,	540,	480,	0,	7,	19,	
86406,	4799,	839,	540,	480,	0,	7,	19,	
88413,	4796,	841,	540,	480,	0,	7,	19,	
90422,	4795,	840,	540,	480,	0,	7,	19,	
92430,	4798,	839,	540,	480,	0,	7,	19,	
94437,	4799,	841,	540,	480,	0,	7,	19,	
96445,	4796,	840,	540,	480,	0,	7,	19,	
98686,	5355,	938,	603,	536,	0,	7,	19,	
100694,	4603,	801,	578,	480,	0,	9,	23,	
103204,	5245,	901,	825,	600,	0,	9,	23,	
105211,	4199,	719,	660,	480,	0,	9,	23,	
107219,	4200,	721,	660,	479,	0,	9,	23,	
109227,	4196,	720,	660,	480,	0,	9,	23,	
111666,	5105,	876,	803,	585,	0,	9,	23,	
113728,	4306,	738,	678,	494,	0,	9,	23,	
115768,	4267,	733,	671,	488,	0,	9,	23,	
117830,	4299,	737,	675,	490,	0,	9,	23,	
119885,	4308,	739,	678,	494,	0,	9,	23,	
121894,	3868,	665,	715,	480,	0,	10,	25,	
123971,	3966,	682,	743,	496,	0,	10,	25,	
125979,	3839,	660,	720,	480,	0,	10,	25,	
128072,	3991,	685,	749,	498,	0,	10,	25,	
130112,	3904,	672,	732,	488,	0,	10,	25,	
132150,	3903,	670,	732,	488,	0,	10,	25,	
134197,	3901,	672,	732,	488,	0,	10,	25,	
136236,	3904,	671,	732,	488,	0,	10,	25,	
138314,	3967,	682,	744,	496,	0,	10,	25,	
140370,	3896,	669,	748,	494,	0,	10,	28,	
142378,	3498,	593,	773,	474,	0,	10,	28,	
144385,	3538,	600,	780,	480,	0,	10,	28,	
146394,	3538,	600,	780,	480,	0,	10,	28,	
148402,	3540,	600,	780,	480,	0,	10,	28,	
