Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
207660,	42195,	0,	11430,	9385,	3849,	
208675,	41155,	0,	11166,	9174,	3748,	
209696,	41419,	0,	11224,	9211,	3782,	
210717,	41235,	0,	11180,	9168,	3764,	
211718,	41383,	0,	11218,	9201,	3777,	
212719,	40591,	0,	10995,	9028,	3698,	
213720,	40841,	0,	11059,	9074,	3724,	
214726,	41419,	0,	11224,	9211,	3782,	
215726,	40535,	0,	10995,	9017,	3709,	
216728,	40740,	0,	11040,	9060,	3720,	
217730,	40740,	0,	11040,	9060,	3720,	
218738,	41272,	0,	11201,	9180,	3779,	
219740,	40740,	0,	11040,	9060,	3720,	
220751,	41419,	0,	11224,	9211,	3782,	
221755,	40122,	0,	10890,	8980,	3687,	
222770,	41131,	0,	11151,	9150,	3761,	
223775,	40740,	0,	11040,	9060,	3720,	
224795,	41419,	0,	11224,	9211,	3782,	
225810,	41174,	0,	11148,	9158,	3747,	
226811,	40740,	0,	11040,	9060,	3720,	
227826,	41052,	0,	11120,	9144,	3753,	
228841,	41419,	0,	11224,	9211,	3782,	
229845,	42098,	0,	11408,	9362,	3844,	
230856,	41915,	0,	11367,	9331,	3829,	
231870,	41173,	0,	11164,	9169,	3761,	
232892,	41233,	0,	11168,	9155,	3751,	
233908,	40890,	0,	11084,	9105,	3738,	
234923,	41223,	0,	11169,	9164,	3771,	
235924,	41202,	0,	11148,	9147,	3755,	
236938,	41167,	0,	11157,	9157,	3755,	
237938,	41000,	0,	11111,	9085,	3753,	
238953,	41221,	0,	11158,	9164,	3760,	
239969,	41419,	0,	11224,	9211,	3782,	
240990,	42878,	0,	11619,	9540,	3911,	
242006,	41053,	0,	11130,	9134,	3758,	
243007,	41813,	0,	11332,	9299,	3835,	
244007,	40835,	0,	11071,	9078,	3733,	
245023,	40893,	0,	11065,	9063,	3715,	
246038,	41948,	0,	11386,	9345,	3841,	
247053,	41031,	0,	11127,	9120,	3746,	
248069,	41296,	0,	11184,	9132,	3761,	
249090,	41657,	0,	11285,	9264,	3802,	
250452,	40236,	0,	12519,	8402,	4284,	
251467,	39146,	0,	10886,	8686,	3672,	
252468,	40592,	0,	10995,	9008,	3705,	
253490,	41552,	0,	11279,	9278,	3808,	
254525,	42075,	0,	11397,	9360,	3840,	
255536,	40980,	0,	11106,	9113,	3747,	
256550,	41419,	0,	11224,	9211,	3782,	
257559,	40740,	0,	11040,	9060,	3720,	
258562,	39694,	0,	10756,	8832,	3611,	
260010,	45367,	0,	12271,	9885,	4090,	
261023,	33823,	0,	9230,	7498,	3159,	
262024,	38556,	0,	10417,	8527,	3514,	
263077,	42981,	0,	11647,	9545,	3929,	
264094,	41358,	0,	11196,	9194,	3776,	
265532,	58099,	0,	15746,	12903,	5302,	
266545,	41457,	0,	11208,	9235,	3766,	
267546,	40740,	0,	11040,	9060,	3720,	
268555,	41419,	0,	11224,	9211,	3782,	
269558,	40740,	0,	11040,	9060,	3720,	
270559,	40740,	0,	11040,	9060,	3720,	
271576,	42777,	0,	11592,	9513,	3906,	
272592,	41680,	0,	11283,	9227,	3799,	
273598,	41897,	0,	11343,	9282,	3815,	
274608,	41656,	0,	11268,	9245,	3806,	
275623,	41863,	0,	11346,	9294,	3826,	
276656,	42525,	0,	11518,	9466,	3875,	
277676,	41793,	0,	11326,	9278,	3816,	
278691,	41254,	0,	11164,	9183,	3759,	
279737,	43273,	0,	11704,	9607,	3937,	
281153,	58168,	0,	15785,	12951,	5327,	
282175,	41170,	0,	11156,	9136,	3752,	
283200,	41590,	0,	11271,	9261,	3794,	
284223,	40786,	0,	11054,	9056,	3744,	
285238,	42098,	0,	11408,	9362,	3844,	
286692,	59366,	0,	16098,	13212,	5438,	
287717,	41419,	0,	11224,	9211,	3782,	
288726,	40968,	0,	11114,	9111,	3733,	
289733,	40556,	0,	10979,	9024,	3703,	
290741,	41201,	0,	11152,	9163,	3759,	
291743,	41419,	0,	11224,	9211,	3782,	
293208,	60124,	0,	16301,	13384,	5494,	
294208,	41179,	0,	11159,	9126,	3755,	
295677,	59475,	0,	16114,	13191,	5439,	
296693,	41791,	0,	11340,	9300,	3830,	
297717,	41419,	0,	11224,	9211,	3782,	
